Time,key,value
2023-10-01T22:24Z,Javier Milei,7
2023-10-01T22:24Z,Sergio Massa,3
2023-10-01T22:24Z,Patricia Bullrich,1
2023-10-01T22:24Z,Myriam Bregman,1
2023-10-01T22:24Z,Juan Schiaretti,1
2023-10-01T22:32Z,Javier Milei,7
2023-10-01T22:32Z,Sergio Massa,3
2023-10-01T22:32Z,Patricia Bullrich,2
2023-10-01T22:32Z,Myriam Bregman,1
2023-10-01T22:32Z,Juan Schiaretti,1
2023-10-01T22:40Z,Javier Milei,9
2023-10-01T22:40Z,Sergio Massa,3
2023-10-01T22:40Z,Patricia Bullrich,2
2023-10-01T22:40Z,Myriam Bregman,1
2023-10-01T22:40Z,Juan Schiaretti,1
2023-10-01T22:48Z,Javier Milei,7
2023-10-01T22:48Z,Sergio Massa,4
2023-10-01T22:48Z,Patricia Bullrich,2
2023-10-01T22:48Z,Myriam Bregman,1
2023-10-01T22:48Z,Juan Schiaretti,1
2023-10-01T22:56Z,Javier Milei,7
2023-10-01T22:56Z,Sergio Massa,3
2023-10-01T22:56Z,Patricia Bullrich,2
2023-10-01T22:56Z,Myriam Bregman,1
2023-10-01T22:56Z,Juan Schiaretti,1
2023-10-01T23:04Z,Javier Milei,8
2023-10-01T23:04Z,Sergio Massa,3
2023-10-01T23:04Z,Patricia Bullrich,2
2023-10-01T23:04Z,Myriam Bregman,1
2023-10-01T23:04Z,Juan Schiaretti,1
2023-10-01T23:12Z,Javier Milei,7
2023-10-01T23:12Z,Sergio Massa,3
2023-10-01T23:12Z,Patricia Bullrich,2
2023-10-01T23:12Z,Myriam Bregman,1
2023-10-01T23:12Z,Juan Schiaretti,1
2023-10-01T23:20Z,Javier Milei,8
2023-10-01T23:20Z,Sergio Massa,3
2023-10-01T23:20Z,Patricia Bullrich,2
2023-10-01T23:20Z,Myriam Bregman,1
2023-10-01T23:20Z,Juan Schiaretti,1
2023-10-01T23:28Z,Javier Milei,8
2023-10-01T23:28Z,Sergio Massa,4
2023-10-01T23:28Z,Patricia Bullrich,2
2023-10-01T23:28Z,Myriam Bregman,1
2023-10-01T23:28Z,Juan Schiaretti,1
2023-10-01T23:36Z,Javier Milei,9
2023-10-01T23:36Z,Sergio Massa,3
2023-10-01T23:36Z,Patricia Bullrich,2
2023-10-01T23:36Z,Myriam Bregman,1
2023-10-01T23:36Z,Juan Schiaretti,1
2023-10-01T23:44Z,Javier Milei,9
2023-10-01T23:44Z,Sergio Massa,4
2023-10-01T23:44Z,Patricia Bullrich,5
2023-10-01T23:44Z,Myriam Bregman,1
2023-10-01T23:44Z,Juan Schiaretti,2
