Time,Javier Milei,Sergio Massa,Patricia Bullrich,Myriam Bregman,Juan Schiaretti
2023-10-01T19:24:00-03:00,7,3,1,1,1
2023-10-01T19:32:00-03:00,7,3,2,1,1
2023-10-01T19:40:00-03:00,9,3,2,1,1
2023-10-01T19:48:00-03:00,7,4,2,1,1
2023-10-01T19:56:00-03:00,7,3,2,1,1
2023-10-01T20:04:00-03:00,8,3,2,1,1
2023-10-01T20:12:00-03:00,7,3,2,1,1
2023-10-01T20:20:00-03:00,8,3,2,1,1
2023-10-01T20:28:00-03:00,8,4,2,1,1
2023-10-01T20:36:00-03:00,9,3,2,1,1
2023-10-01T20:44:00-03:00,9,4,5,1,2
2023-10-01T20:52:00-03:00,12,6,9,3,4
2023-10-01T21:00:00-03:00,10,4,4,6,3
2023-10-01T21:08:00-03:00,17,12,9,6,40
2023-10-01T21:16:00-03:00,21,12,6,11,52
2023-10-01T21:24:00-03:00,17,29,10,25,48
2023-10-01T21:32:00-03:00,25,19,29,9,57
2023-10-01T21:40:00-03:00,21,36,18,41,100
2023-10-01T21:48:00-03:00,23,16,18,41,85
2023-10-01T21:56:00-03:00,35,18,12,21,33
2023-10-01T22:04:00-03:00,26,12,9,13,22
2023-10-01T22:12:00-03:00,19,10,34,36,91
2023-10-01T22:20:00-03:00,27,21,24,44,45
2023-10-01T22:28:00-03:00,33,14,12,28,63
2023-10-01T22:36:00-03:00,28,22,16,46,63
2023-10-01T22:44:00-03:00,53,17,25,57,53
2023-10-01T22:52:00-03:00,33,19,21,32,49
2023-10-01T23:00:00-03:00,29,14,13,31,43
2023-10-01T23:08:00-03:00,27,14,17,21,24
2023-10-01T23:16:00-03:00,27,12,10,19,16
2023-10-01T23:24:00-03:00,24,10,8,14,13
2023-10-01T23:32:00-03:00,26,10,11,11,12
2023-10-01T23:40:00-03:00,21,8,10,11,18
2023-10-01T23:48:00-03:00,21,8,7,13,11
2023-10-01T23:56:00-03:00,19,8,7,9,14
2023-10-02T00:04:00-03:00,18,7,5,7,12
2023-10-02T00:12:00-03:00,14,7,5,8,9
2023-10-02T00:20:00-03:00,16,7,5,8,8
2023-10-02T00:28:00-03:00,14,7,5,7,8
2023-10-02T00:36:00-03:00,15,5,4,7,6
2023-10-02T00:44:00-03:00,15,5,4,6,6
2023-10-02T00:52:00-03:00,15,5,4,6,6
2023-10-02T01:00:00-03:00,14,5,4,8,6
2023-10-02T01:08:00-03:00,13,4,2,7,5
2023-10-02T01:16:00-03:00,15,5,3,6,6
2023-10-02T01:24:00-03:00,13,5,3,5,5
2023-10-02T01:32:00-03:00,14,6,4,7,6
2023-10-02T01:40:00-03:00,14,6,4,6,6
2023-10-02T01:48:00-03:00,13,4,2,7,4
2023-10-02T01:56:00-03:00,12,5,3,8,6
2023-10-02T02:04:00-03:00,11,3,2,6,6
2023-10-02T02:12:00-03:00,15,5,4,6,5
2023-10-02T02:20:00-03:00,12,5,3,7,7
2023-10-02T02:28:00-03:00,12,5,2,6,5
2023-10-02T02:36:00-03:00,13,3,5,6,6
2023-10-02T02:44:00-03:00,11,5,3,3,7
2023-10-02T02:52:00-03:00,11,4,4,5,2
2023-10-02T03:00:00-03:00,7,3,3,4,5
2023-10-02T03:08:00-03:00,11,5,2,5,7
2023-10-02T03:16:00-03:00,12,4,2,5,2
2023-10-02T03:24:00-03:00,10,3,4,3,4
2023-10-02T03:32:00-03:00,11,4,3,3,4
2023-10-02T03:40:00-03:00,13,5,2,7,4
2023-10-02T03:48:00-03:00,12,4,3,6,5
2023-10-02T03:56:00-03:00,12,5,2,7,5
2023-10-02T04:04:00-03:00,11,3,2,3,3
2023-10-02T04:12:00-03:00,9,3,2,3,2
2023-10-02T04:20:00-03:00,7,4,2,6,7
2023-10-02T04:28:00-03:00,7,9,1,3,5
2023-10-02T04:36:00-03:00,10,4,0,5,4
2023-10-02T04:44:00-03:00,12,2,3,2,2
2023-10-02T04:52:00-03:00,8,3,3,2,5
2023-10-02T05:00:00-03:00,8,4,3,7,2
2023-10-02T05:08:00-03:00,9,6,2,4,2
2023-10-02T05:16:00-03:00,10,2,2,4,5
2023-10-02T05:24:00-03:00,6,4,3,2,6
2023-10-02T05:32:00-03:00,9,5,1,2,2
2023-10-02T05:40:00-03:00,8,2,2,5,5
2023-10-02T05:48:00-03:00,10,2,2,5,3
2023-10-02T05:56:00-03:00,7,2,2,3,2
2023-10-02T06:04:00-03:00,6,3,1,1,3
2023-10-02T06:12:00-03:00,7,3,2,3,3
2023-10-02T06:20:00-03:00,8,2,2,5,4
2023-10-02T06:28:00-03:00,7,4,1,4,3
2023-10-02T06:36:00-03:00,8,2,1,2,4
2023-10-02T06:44:00-03:00,8,2,2,3,4
2023-10-02T06:52:00-03:00,10,3,2,5,3
2023-10-02T07:00:00-03:00,7,2,2,3,3
2023-10-02T07:08:00-03:00,10,2,2,3,4
2023-10-02T07:16:00-03:00,10,2,2,5,4
2023-10-02T07:24:00-03:00,10,5,3,4,5
2023-10-02T07:32:00-03:00,7,5,3,5,4
2023-10-02T07:40:00-03:00,9,4,3,3,4
2023-10-02T07:48:00-03:00,7,3,2,3,3
2023-10-02T07:56:00-03:00,7,3,2,3,3
2023-10-02T08:04:00-03:00,7,3,2,3,3
2023-10-02T08:12:00-03:00,9,3,3,3,4
2023-10-02T08:20:00-03:00,9,3,3,4,4
2023-10-02T08:28:00-03:00,8,3,2,4,4
2023-10-02T08:36:00-03:00,8,3,2,3,3
2023-10-02T08:44:00-03:00,8,3,2,3,3
2023-10-02T08:52:00-03:00,7,3,2,3,4
2023-10-02T09:00:00-03:00,7,3,2,3,3
2023-10-02T09:08:00-03:00,8,3,2,3,4
2023-10-02T09:16:00-03:00,6,2,2,3,4
2023-10-02T09:24:00-03:00,6,3,2,3,4
2023-10-02T09:32:00-03:00,7,3,2,3,3
2023-10-02T09:40:00-03:00,7,3,2,3,3
2023-10-02T09:48:00-03:00,6,2,2,3,3
2023-10-02T09:56:00-03:00,7,3,1,3,3
2023-10-02T10:04:00-03:00,6,3,2,3,3
2023-10-02T10:12:00-03:00,6,3,2,3,3
2023-10-02T10:20:00-03:00,6,3,2,3,3
2023-10-02T10:28:00-03:00,6,3,2,3,3
2023-10-02T10:36:00-03:00,6,3,2,2,3
2023-10-02T10:44:00-03:00,7,3,2,2,3
2023-10-02T10:52:00-03:00,6,2,2,2,3
2023-10-02T11:00:00-03:00,6,3,2,2,3
2023-10-02T11:08:00-03:00,6,3,2,2,3
2023-10-02T11:16:00-03:00,6,2,2,2,3
2023-10-02T11:24:00-03:00,6,3,2,2,3
2023-10-02T11:32:00-03:00,5,3,2,3,3
2023-10-02T11:40:00-03:00,5,3,2,2,3
2023-10-02T11:48:00-03:00,6,3,2,2,3
2023-10-02T11:56:00-03:00,5,2,1,2,3
2023-10-02T12:04:00-03:00,6,3,2,2,3
2023-10-02T12:12:00-03:00,6,3,2,2,2
2023-10-02T12:20:00-03:00,6,3,2,2,3
2023-10-02T12:28:00-03:00,7,5,3,3,3
2023-10-02T12:36:00-03:00,7,3,3,2,4
2023-10-02T12:44:00-03:00,7,3,2,3,3
2023-10-02T12:52:00-03:00,7,3,2,2,3
2023-10-02T13:00:00-03:00,7,3,2,3,3
2023-10-02T13:08:00-03:00,7,3,2,3,3
2023-10-02T13:16:00-03:00,7,3,2,2,4
2023-10-02T13:24:00-03:00,7,3,2,3,3
2023-10-02T13:32:00-03:00,7,3,2,3,4
2023-10-02T13:40:00-03:00,8,3,2,3,3
2023-10-02T13:48:00-03:00,7,3,3,3,3
2023-10-02T13:56:00-03:00,6,3,2,2,4
2023-10-02T14:04:00-03:00,7,2,2,3,3
2023-10-02T14:12:00-03:00,7,3,2,2,3
2023-10-02T14:20:00-03:00,7,3,2,2,3
2023-10-02T14:28:00-03:00,7,4,2,2,3
2023-10-02T14:36:00-03:00,7,6,3,3,3
2023-10-02T14:44:00-03:00,6,4,3,3,4
2023-10-02T14:52:00-03:00,6,4,2,2,3
2023-10-02T15:00:00-03:00,6,3,2,2,3
2023-10-02T15:08:00-03:00,6,2,2,2,2
2023-10-02T15:16:00-03:00,5,2,1,2,2
2023-10-02T15:24:00-03:00,6,3,2,2,2
2023-10-02T15:32:00-03:00,6,3,2,2,2
2023-10-02T15:40:00-03:00,6,2,1,2,2
2023-10-02T15:48:00-03:00,5,3,2,2,2
2023-10-02T15:56:00-03:00,5,3,1,2,2
2023-10-02T16:04:00-03:00,6,3,1,2,2
2023-10-02T16:12:00-03:00,5,3,2,2,2
2023-10-02T16:20:00-03:00,5,4,2,2,2
2023-10-02T16:28:00-03:00,4,4,1,1,2
2023-10-02T16:36:00-03:00,5,3,2,2,2
2023-10-02T16:44:00-03:00,6,3,3,1,2
2023-10-02T16:52:00-03:00,5,3,2,2,2
2023-10-02T17:00:00-03:00,5,3,2,2,2
2023-10-02T17:08:00-03:00,5,3,2,2,2
2023-10-02T17:16:00-03:00,6,3,2,2,2
2023-10-02T17:24:00-03:00,4,3,2,2,2
2023-10-02T17:32:00-03:00,5,3,2,1,2
2023-10-02T17:40:00-03:00,5,3,2,2,2
2023-10-02T17:48:00-03:00,6,3,2,2,2
2023-10-02T17:56:00-03:00,5,3,1,1,2
2023-10-02T18:04:00-03:00,5,3,2,2,2
2023-10-02T18:12:00-03:00,5,3,1,2,2
2023-10-02T18:20:00-03:00,5,2,2,2,1
2023-10-02T18:28:00-03:00,5,2,1,2,2
2023-10-02T18:36:00-03:00,5,3,2,2,2
2023-10-02T18:44:00-03:00,6,3,2,2,2
2023-10-02T18:52:00-03:00,5,3,2,2,2
2023-10-02T19:00:00-03:00,5,3,1,2,1
2023-10-02T19:08:00-03:00,5,2,1,2,2
2023-10-02T19:16:00-03:00,7,4,3,2,2
